日期,股票代码,名称,收盘价,涨跌幅
2017-03-02,'000001,上证指数,3230.0281,-0.5207
2017-03-01,'000001,上证指数,3246.9335,0.1604
2017-02-28,'000001,上证指数,3241.7331,0.4049
2017-02-27,'000001,上证指数,3228.6602,-0.7614
2017-02-24,'000001,上证指数,3253.4327,0.0633
2017-02-23,'000001,上证指数,3251.375,-0.3018
2017-02-22,'000001,上证指数,3261.2184,0.2426
2017-02-21,'000001,上证指数,3253.3257,0.4125
2017-02-20,'000001,上证指数,3239.9613,1.1832
2017-02-17,'000001,上证指数,3202.0756,-0.8528
2017-02-16,'000001,上证指数,3229.6184,0.5177
2017-02-15,'000001,上证指数,3212.9857,-0.1536
2017-02-14,'000001,上证指数,3217.928,0.0338
2017-02-13,'000001,上证指数,3216.8394,0.63
2017-02-10,'000001,上证指数,3196.699,0.4247
2017-02-09,'000001,上证指数,3183.1794,0.5115
2017-02-08,'000001,上证指数,3166.9818,0.4406
2017-02-07,'000001,上证指数,3153.0878,-0.1234
2017-02-06,'000001,上证指数,3156.9838,0.5354
2017-02-03,'000001,上证指数,3140.17,-0.6013
2017-01-26,'000001,上证指数,3159.166,0.3052
2017-01-25,'000001,上证指数,3149.5547,0.2228
2017-01-24,'000001,上证指数,3142.5533,0.1842
2017-01-23,'000001,上证指数,3136.7748,0.4366
2017-01-20,'000001,上证指数,3123.1389,0.7042
2017-01-19,'000001,上证指数,3101.2992,-0.3763
2017-01-18,'000001,上证指数,3113.0123,0.1363
2017-01-17,'000001,上证指数,3108.7746,0.1723
2017-01-16,'000001,上证指数,3103.428,-0.2999
2017-01-13,'000001,上证指数,3112.7644,-0.2092
2017-01-12,'000001,上证指数,3119.2886,-0.5568
2017-01-11,'000001,上证指数,3136.7535,-0.7881
2017-01-10,'000001,上证指数,3161.6713,-0.3016
2017-01-09,'000001,上证指数,3171.2362,0.5363
2017-01-06,'000001,上证指数,3154.321,-0.3503
2017-01-05,'000001,上证指数,3165.4109,0.2095
2017-01-04,'000001,上证指数,3158.794,0.7294
2017-01-03,'000001,上证指数,3135.9208,1.0402
2016-12-30,'000001,上证指数,3103.6373,0.2435
2016-12-29,'000001,上证指数,3096.0968,-0.1979
2016-12-28,'000001,上证指数,3102.2357,-0.399
2016-12-27,'000001,上证指数,3114.664,-0.2532
2016-12-26,'000001,上证指数,3122.569,0.3992
2016-12-23,'000001,上证指数,3110.1544,-0.9366
2016-12-22,'000001,上证指数,3139.558,0.0678
2016-12-21,'000001,上证指数,3137.4297,1.1136
2016-12-20,'000001,上证指数,3102.8759,-0.4878
2016-12-19,'000001,上证指数,3118.0846,-0.1568
2016-12-16,'000001,上证指数,3122.9815,0.1701
2016-12-15,'000001,上证指数,3117.677,-0.7277
2016-12-14,'000001,上证指数,3140.5308,-0.4598
2016-12-13,'000001,上证指数,3155.0374,0.0656
2016-12-12,'000001,上证指数,3152.9704,-2.4719
2016-12-09,'000001,上证指数,3232.8834,0.5448
2016-12-08,'000001,上证指数,3215.3658,-0.2134
2016-12-07,'000001,上证指数,3222.2415,0.7061
2016-12-06,'000001,上证指数,3199.6473,-0.158
2016-12-05,'000001,上证指数,3204.7092,-1.2064
2016-12-02,'000001,上证指数,3243.8432,-0.9002
2016-12-01,'000001,上证指数,3273.3093,0.7161
2016-11-30,'000001,上证指数,3250.0344,-1.0018
2016-11-29,'000001,上证指数,3282.9238,0.1808
2016-11-28,'000001,上证指数,3276.9996,0.4617
2016-11-25,'000001,上证指数,3261.9378,0.6232
2016-11-24,'000001,上证指数,3241.7359,0.0185
2016-11-23,'000001,上证指数,3241.1366,-0.2221
2016-11-22,'000001,上证指数,3248.3517,0.9386
2016-11-21,'000001,上证指数,3218.1477,0.7921
2016-11-18,'000001,上证指数,3192.8559,-0.4861
2016-11-17,'000001,上证指数,3208.4525,0.1059
2016-11-16,'000001,上证指数,3205.0572,-0.0601
2016-11-15,'000001,上证指数,3206.9858,-0.1054
2016-11-14,'000001,上证指数,3210.371,0.4483
2016-11-11,'000001,上证指数,3196.0436,0.7808
2016-11-10,'000001,上证指数,3171.282,1.3717
2016-11-09,'000001,上证指数,3128.3702,-0.62
2016-11-08,'000001,上证指数,3147.8875,0.4645
2016-11-07,'000001,上证指数,3133.3326,0.2565
2016-11-04,'000001,上证指数,3125.3167,-0.1157
2016-11-03,'000001,上证指数,3128.9356,0.8445
2016-11-02,'000001,上证指数,3102.7326,-0.631
2016-11-01,'000001,上证指数,3122.4356,0.7077
2016-10-31,'000001,上证指数,3100.492,-0.1217
2016-10-28,'000001,上证指数,3104.2703,-0.2596
2016-10-27,'000001,上证指数,3112.3498,-0.1271
2016-10-26,'000001,上证指数,3116.3119,-0.4989
2016-10-25,'000001,上证指数,3131.9385,0.118
2016-10-24,'000001,上证指数,3128.2467,1.2069
2016-10-21,'000001,上证指数,3090.9412,0.2102
2016-10-20,'000001,上证指数,3084.4577,-0.0085
2016-10-19,'000001,上证指数,3084.7189,0.0274
2016-10-18,'000001,上证指数,3083.8751,1.4044
2016-10-17,'000001,上证指数,3041.1663,-0.739
2016-10-14,'000001,上证指数,3063.8086,0.0804
2016-10-13,'000001,上证指数,3061.3458,0.0931
2016-10-12,'000001,上证指数,3058.4981,-0.2203
2016-10-11,'000001,上证指数,3065.2497,0.5612
2016-10-10,'000001,上证指数,3048.1428,1.4457
2016-09-30,'000001,上证指数,3004.703,0.2074
2016-09-29,'000001,上证指数,2998.4827,0.3556
2016-09-28,'000001,上证指数,2987.8576,-0.344
2016-09-27,'000001,上证指数,2998.1723,0.5953
2016-09-26,'000001,上证指数,2980.4295,-1.7623
2016-09-23,'000001,上证指数,3033.8956,-0.2767
2016-09-22,'000001,上证指数,3042.3132,0.5433
2016-09-21,'000001,上证指数,3025.8736,0.0951
2016-09-20,'000001,上证指数,3022.9995,-0.1009
2016-09-19,'000001,上证指数,3026.0513,0.7727
2016-09-14,'000001,上证指数,3002.8486,-0.6833
2016-09-13,'000001,上证指数,3023.5095,0.0507
2016-09-12,'000001,上证指数,3021.9771,-1.8474
2016-09-09,'000001,上证指数,3078.8548,-0.5523
2016-09-08,'000001,上证指数,3095.9543,0.1302
2016-09-07,'000001,上证指数,3091.9281,0.0393
2016-09-06,'000001,上证指数,3090.7127,0.606
2016-09-05,'000001,上证指数,3072.0953,0.1546
2016-09-02,'000001,上证指数,3067.352,0.1321
2016-09-01,'000001,上证指数,3063.3054,-0.719
2016-08-31,'000001,上证指数,3085.491,0.3517
2016-08-30,'000001,上证指数,3074.6768,0.1514
2016-08-29,'000001,上证指数,3070.0273,-0.0092
2016-08-26,'000001,上证指数,3070.3088,0.0645
2016-08-25,'000001,上证指数,3068.3294,-0.5688
2016-08-24,'000001,上证指数,3085.8804,-0.1238
2016-08-23,'000001,上证指数,3089.7055,0.1589
2016-08-22,'000001,上证指数,3084.8051,-0.7496
2016-08-19,'000001,上证指数,3108.102,0.1285
2016-08-18,'000001,上证指数,3104.1138,-0.175
2016-08-17,'000001,上证指数,3109.5549,-0.0155
2016-08-16,'000001,上证指数,3110.0369,-0.485
2016-08-15,'000001,上证指数,3125.1952,2.443
2016-08-12,'000001,上证指数,3050.6674,1.5996
2016-08-11,'000001,上证指数,3002.6376,-0.5336
2016-08-10,'000001,上证指数,3018.7459,-0.2292
2016-08-09,'000001,上证指数,3025.6805,0.7124
2016-08-08,'000001,上证指数,3004.2767,0.9265
2016-08-05,'000001,上证指数,2976.6962,-0.1921
2016-08-04,'000001,上证指数,2982.4261,0.1331
2016-08-03,'000001,上证指数,2978.4608,0.2417
2016-08-02,'000001,上证指数,2971.2787,0.6059
2016-08-01,'000001,上证指数,2953.3854,-0.8711
2016-07-29,'000001,上证指数,2979.3388,-0.5004
2016-07-28,'000001,上证指数,2994.3234,0.0777
2016-07-27,'000001,上证指数,2991.9991,-1.907
2016-07-26,'000001,上证指数,3050.1661,1.1386
2016-07-25,'000001,上证指数,3015.8278,0.1
2016-07-22,'000001,上证指数,3012.8157,-0.8619
2016-07-21,'000001,上证指数,3039.0091,0.3669
2016-07-20,'000001,上证指数,3027.8995,-0.2865
2016-07-19,'000001,上证指数,3036.5979,-0.2289
2016-07-18,'000001,上证指数,3043.5643,-0.3514
2016-07-15,'000001,上证指数,3054.296,0.0091
